nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT07155603,Visual Aids for Colonoscopy Preparation: A Prospective Study on Patient Understanding and Bowel Cleanliness in Colonoscopy Patients,The Effect of Audio-visual Aids on Bowel Cleanliness,NA,Prof. Dr. Jörg Leuppi,NOT_YET_RECRUITING,2025-09,2028-12-15,2025-09-04,2025-09-04
NCT00915603,Trial of Paclitaxel/Bevacizumab +/- Everolimus for Patients With HER2-Negative Metastatic Breast Cancer,Metastatic Breast Cancer,PHASE2,"SCRI Development Innovations, LLC",COMPLETED,2009-07,2014-07,2009-06-08,2014-12-22
NCT07696403,Cardiometabolic Effects of the Recommended Daily Pecan Intake Dose,"Nutrition, Healthy",NA,University of Georgia,NOT_YET_RECRUITING,2026-08,2029-07,2026-07-10,2026-07-13
NCT01255527,Evaluating the Efficacy and Safety of the Lower Dose of Bortezomib Plus Busulfan and Melphalan as a Conditioning Regimen in Patients With Multiple Myeloma Undergoing Autologous Peripheral Blood Stem Cell Transplantation- KMM103 Study,Multiple Myeloma Patients Who Candidate for Autologous Peripheral Blood Stem Cell Transplantation,PHASE1,Yonsei University,UNKNOWN,2010-10,2014-12,2010-12-07,2013-06-04
NCT06802627,Prehabilitation for Lung Cancer Patients Undergoing Lung Resection,Lung Cancer,NA,Universidade do Porto,NOT_YET_RECRUITING,2025-03-01,2027-11-30,2025-01-31,2025-01-31
NCT01288261,Paclitaxel and Bavituximab in Treating Patients With HER2-Negative Metastatic Breast Cancer,Human Epidermal Growth Factor 2 Negative Carcinoma of Breast,PHASE1,University of Arizona,COMPLETED,2011-01,2015-07,2011-02-02,2016-04-21
NCT01884961,Radiotherapy As an Immunological Booster in Patients with Metastatic Melanoma or Renal Cell Carcinoma Treated with High-dose Interleukin-2,Metastatic Renal Cell Cancer,PHASE2,Istituto Romagnolo per lo Studio dei Tumori Dino Amadori IRST S.r.l. IRCCS,COMPLETED,2012-07-09,2025-01,2013-06-24,2025-01-13
NCT07294547,Is Valacyclovir Non-inferior to Valganciclovir as CMV and EBV Prophylaxis in Kidney Transplant Recipients? A Single-Center Prospective Randomized Pilot Study,"Kidney Transplantation, Cytomegalovirus Infections",NA,National Taiwan University Hospital,RECRUITING,2025-11-27,2030-12,2025-12-19,2025-12-19
NCT02553447,Cholecalciferol in Newly Diagnosed Non-Hodgkin Lymphoma or Chronic Lymphocytic Leukemia With Vitamin D Deficiency,Chronic Lymphocytic Leukemia,NA,University of Nebraska,COMPLETED,2015-10-19,2025-04-12,2015-09-17,2026-04-21
NCT04538547,Randomized Trial to Evaluate Accelerated Radiotherapy in Locally Advanced Carcinoma of Nasopharynx,"Carcinoma, Nasopharyngeal",NA,"Post Graduate Institute of Medical Education and Research, Chandigarh",UNKNOWN,2019-09-16,2022-09,2020-09-04,2020-09-04
NCT05612347,Colonoscopy vs Stool Testing for Older Adults With Colon Polyps,Colorectal Polyp,NA,Dartmouth-Hitchcock Medical Center,RECRUITING,2023-06-14,2035-12-31,2022-11-10,2026-07-14
NCT02517749,Out Patient Talc Slurry Via Indwelling Pleural Catheter for Malignant Pleural Effusion Vs Usual Inpatient Management,"Pleural Effusion, Malignant",NA,Guy's and St Thomas' NHS Foundation Trust,COMPLETED,2015-08,2020-03,2015-08-07,2023-11-24
NCT05754749,Comparison of CE-DBT and MRI in Patients With Known Breast Lesions,Breast Cancer,EARLY_PHASE1,UNC Lineberger Comprehensive Cancer Center,TERMINATED,2023-03-13,2026-05-20,2023-03-06,2026-07-27
NCT02233049,Biological Medicine for Diffuse Intrinsic Pontine Glioma (DIPG) Eradication,Diffuse Intrinsic Pontine Glioma,PHASE2,"Gustave Roussy, Cancer Campus, Grand Paris",UNKNOWN,2014-10,2018-10,2014-09-08,2018-07-23
NCT00821249,A Study of ARRY-520 in Patients With Relapsed or Refractory Multiple Myeloma,Multiple Myeloma,PHASE1,Pfizer,COMPLETED,2009-01,2016-03-16,2009-01-13,2020-10-19
